"","subid","duration","summary","summary_coded","yob","gender","ethnicity","religion","comments","subid_char","character","capacity","response","response_num"
"1614","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_robots","robots","get lonely","YES",1
"1615","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_robots","robots","get sad","KINDA",0.5
"1616","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_robots","robots","figure things out","NO",0
"1617","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_robots","robots","please choose yes","YES",1
"1618","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","figure things out","YES",1
"1619","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","get sad","KINDA",0.5
"1620","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","get lonely","NO",0
"1621","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","hate someone","YES",1
"1622","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","please click kinda","KINDA",0.5
"1623","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","feel happy","NO",0
"1624","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","feel hungry","YES",1
"1625","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","please choose yes","YES",1
"1626","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","know stuff","NO",0
"1627","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","love someone","KINDA",0.5
"1628","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","get thirsty","YES",1
"1629","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","get scared","NO",0
"1630","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","think","KINDA",0.5
"1631","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","remember things","YES",1
"1632","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","hear","NO",0
"1633","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","feel sick","YES",1
"1634","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","please select no","NO",0
"1635","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","feel sorry","NO",0
"1636","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","see","KINDA",0.5
"1637","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","feel tired","YES",1
"1638","R-263dis8BcllfJTu","521","welll good","0","1994","m","white","christianity","great","R-263dis8BcllfJTu_beetles","beetles","smell things","NO",0
"1639","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","know stuff","YES",1
"1640","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","feel sorry","NO",0
"1641","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","get thirsty","NO",0
"1642","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","remember things","YES",1
"1643","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","please select no","NO",0
"1644","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","get scared","NO",0
"1645","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","smell things","NO",0
"1646","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","feel tired","NO",0
"1647","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","get sad","NO",0
"1648","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","get lonely","NO",0
"1649","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","love someone","NO",0
"1650","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","feel hungry","NO",0
"1651","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","see","KINDA",0.5
"1652","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","hate someone","NO",0
"1653","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","figure things out","YES",1
"1654","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","please click kinda","KINDA",0.5
"1655","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","hear","KINDA",0.5
"1656","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","feel sick","NO",0
"1657","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","think","KINDA",0.5
"1658","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","feel happy","NO",0
"1659","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_robots","robots","please choose yes","YES",1
"1660","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","feel happy","YES",1
"1661","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","think","KINDA",0.5
"1662","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","feel sick","YES",1
"1663","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","hear","YES",1
"1664","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","please click kinda","KINDA",0.5
"1665","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","figure things out","YES",1
"1666","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","hate someone","NO",0
"1667","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","please choose yes","YES",1
"1668","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","see","YES",1
"1669","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","feel hungry","YES",1
"1670","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","love someone","KINDA",0.5
"1671","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","get lonely","YES",1
"1672","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","get sad","YES",1
"1673","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","feel tired","YES",1
"1674","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","smell things","YES",1
"1675","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","get scared","YES",1
"1676","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","please select no","NO",0
"1677","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","remember things","KINDA",0.5
"1678","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","get thirsty","YES",1
"1679","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","feel sorry","YES",1
"1680","R-26g2tXv1QXik3D0","191","I made guesses on whether a robot or a beetle could feel or think different things.","1","1981","f","white","christianity","","R-26g2tXv1QXik3D0_beetles","beetles","know stuff","YES",1
"1681","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","figure things out","KINDA",0.5
"1682","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","get sad","NO",0
"1683","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","get lonely","NO",0
"1684","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","hate someone","NO",0
"1685","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","please select no","NO",0
"1686","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","feel happy","KINDA",0.5
"1687","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","feel hungry","YES",1
"1688","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","know stuff","YES",1
"1689","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","love someone","NO",0
"1690","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","get thirsty","YES",1
"1691","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","get scared","YES",1
"1692","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","think","YES",1
"1693","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","remember things","YES",1
"1694","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","hear","YES",1
"1695","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","feel sick","YES",1
"1696","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","please click kinda","KINDA",0.5
"1697","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","feel sorry","NO",0
"1698","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","see","YES",1
"1699","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","feel tired","YES",1
"1700","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","smell things","YES",1
"1701","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_beetles","beetles","please choose yes","YES",1
"1702","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","smell things","NO",0
"1703","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","feel tired","NO",0
"1704","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","see","KINDA",0.5
"1705","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","feel sorry","NO",0
"1706","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","please click kinda","KINDA",0.5
"1707","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","feel sick","NO",0
"1708","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","hear","KINDA",0.5
"1709","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","please choose yes","YES",1
"1710","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","remember things","YES",1
"1711","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","think","KINDA",0.5
"1712","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","get scared","NO",0
"1713","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","get thirsty","NO",0
"1714","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","love someone","NO",0
"1715","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","know stuff","KINDA",0.5
"1716","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","feel hungry","NO",0
"1717","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","feel happy","NO",0
"1718","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","please select no","NO",0
"1719","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","hate someone","NO",0
"1720","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","get lonely","NO",0
"1721","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","get sad","NO",0
"1722","R-2725awzPx7xSMZ5","233","I answered questions about what a beetle & robot could do or not do.","1","1975","m","white","christianity","","R-2725awzPx7xSMZ5_robots","robots","figure things out","KINDA",0.5
"1723","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","love someone","NO",0
"1724","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","hear","NO",0
"1725","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","feel sorry","NO",0
"1726","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","get sad","NO",0
"1727","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","please select no","NO",0
"1728","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","remember things","KINDA",0.5
"1729","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","hate someone","NO",0
"1730","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","get lonely","NO",0
"1731","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","feel tired","YES",1
"1732","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","figure things out","KINDA",0.5
"1733","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","get scared","KINDA",0.5
"1734","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","see","YES",1
"1735","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","feel sick","KINDA",0.5
"1736","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","get thirsty","YES",1
"1737","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","smell things","KINDA",0.5
"1738","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","please click kinda","KINDA",0.5
"1739","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","know stuff","KINDA",0.5
"1740","R-27C0oYX3W9F3M9q","353","I answered questions about what beetles and robots can or cannot do.","1","1983","f","white","not_religious","I may have just missed the warning but I didn't anticipate the survey auto progressing when I clicked an answer. I clicked my first answer about the beetles and then my answer did not show as selected so I clicked again and as I did that and it moved forward, I realized that it had moved to a second question (hence why no answer showed as selected yet) and I had just accidentally answered no without reading the second question. From there on out, I was aware and all answers were as intended.","R-27C0oYX3W9F3M9q_beetles","beetles","feel happy","NO",0
